filename,genre,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
Chinna_Chinna_Aasai_-_ROJA.mp3,non_prog,0.316166138984508,0.0211170706897974,3284.8942360137266,3322.0982437403636,6396.878630769489,64.34350321772504,-349.75079481019185,115.21824230782572,-38.618146359372616,28.15344862677523,-9.805047783570433,6.545237231730136,-5.702262543947959,4.630527078509217,-2.731896771342079,2.5229238850033995,-2.5265137715114676,3.492899491727449,-8.486583870798988,0.6265327422920308,-7.690232123763467,-1.4485481715104074,-2.358849371445033,-2.782028862317638,-2.795773070731196,2.9128965961922693
05_-_Go_to_the_West_-_Meeting_in_Menggu_Tents_-_Be_Together_-_Sister_Liu.mp3,non_prog,0.27621845419463215,0.16215629875659943,2464.99979623595,1762.1045687716505,4102.455120672576,73.52727276859557,-173.79421330716355,149.35898892853518,-106.7905526792725,12.334715333035914,-1.1413349991438757,-15.334358673569284,2.2736977337655704,-7.8420582809116866,-1.9470080924544586,-9.337958559614712,-4.009496701541717,0.3414903905379362,-1.289596840174763,2.965494140192407,2.3929720832941315,5.455940255359679,-0.891145682548783,-4.00806598054175,-2.80354201079948,-3.0308080089018783
03-oneohtrix_point_never-betrayed_in_the_octagon-kouala.mp3,non_prog,0.6128784228735615,0.2811422646045685,1057.3908720368058,1562.7731862421695,2492.0550177493064,19.394529992714787,-207.31444279651373,177.4983415248513,-16.462789255393247,31.726131043934995,30.623009333079242,-10.812512953607158,14.919783742037444,14.331589570855504,-4.3210717480196745,1.5597815069401935,6.3416704922622325,1.9658417593098685,-1.4469536136034087,4.097169075241218,5.8753121953775445,2.0450903649863625,6.1554227152585215,8.974930609008966,8.55830847508247,8.16758064474785
06_-_Give_It_Up.mp3,non_prog,0.4721417699546899,0.06276774406433105,3279.2608676901696,3687.116918414157,7107.85031076205,49.05549242597288,-247.1821209193482,120.32665030266458,-10.918820870908352,42.898292157562565,-6.3970928661637,19.769691913931684,0.33750035873573586,13.01193134977348,-2.637754991802882,5.769414566416813,-4.936011399185435,5.053695979373853,4.0487593579924175,-1.8415177677605052,0.36576192297166676,-0.7677796447231741,0.3636897209157211,1.377548947567819,-0.8606806961388059,4.929952862206927
The_Supreme_(Vol_II)-M._S._Subbulakshmi-09-Mere_To_Giridhar.mp3,non_prog,0.30385684637240695,0.08860456198453903,1623.9340544896145,1390.7018010270895,3098.0767953328536,48.443851351534555,-248.55319237931505,198.02354823284705,-55.8453570321745,-6.84680768915098,32.92073140616357,-23.66255156415506,-7.929821330458022,15.55794882288529,-9.751356307746088,-8.457254795907126,7.745004026179327,2.24714101680234,2.2925811760698522,8.220701033886852,3.6215317128671796,1.439487756892563,4.032196190786403,1.4481620858345874,-1.6753396085159156,-0.7141901947118323
05_-_Moonwind.mp3,non_prog,0.41841969215100294,0.0668918564915657,1313.8004346262228,1790.1293181464844,2386.3497496133236,15.19812130816295,-291.0790369910441,177.13430170618955,17.800134915621975,25.451302304122216,3.8414605533357853,-0.24280950254516442,-3.063821189362366,1.5390893891081947,4.3102828490483915,2.5124830886991765,-0.7896319234637363,1.0397801981510066,0.19356305316546532,-0.7958568660748857,-0.32377614500634855,1.5279013043580894,2.6825088338918937,3.1229890837060506,2.178488732038237,0.7014676268381549
01_-_Tiempo_Al_Tiempo.mp3,non_prog,0.42161423785599794,0.08789004385471344,5078.300849287458,4489.609952811761,10010.295631947989,120.32684177477428,-158.72088006380966,76.62751138921774,-19.88847888440002,57.779083808672375,-10.360546150831091,21.35314310483494,-14.224322908847329,8.977194107380777,-16.333652041397944,4.1789198416555084,-22.244424917846278,6.700715051526654,-18.224840043446985,2.550091232431368,-11.256550494844728,0.9660792633912679,-10.909503694410487,4.269446490083992,-6.780470028637693,-1.0819390412612448
Hallelujah_Kate_McKinnon.mp3,non_prog,0.33690950659215846,0.03421614319086075,1405.7071462572433,1823.7552423563586,2357.3489546024357,45.35001412579511,-376.6842739362482,167.1886849487761,16.96807471075165,11.839530444771519,-17.27656907794232,-0.14969491288063524,-5.653898623234441,-13.082957477944223,2.272607381810453,-14.020365826706149,-2.568260243837472,-2.243553169763754,-8.913503996891775,0.29387851305888446,-8.401993298911464,-5.67844436651947,-1.5989322013064622,-5.6858910099867,-10.085854348104046,-8.463697748712402
07_Summoning_Of_The_Muse.mp3,non_prog,0.3506736273175669,0.12209312617778778,1755.3320409101661,2038.5571418994014,3284.4522270026796,37.27441310676108,-180.39575322809287,190.5712628341878,-43.73510858078335,21.55584800983823,-2.7837015789244104,3.7752062538681295,0.15556198256967405,6.199993892587821,5.272673419076271,-2.696787252075072,1.8487679901503744,2.5148610125161954,-7.5616620278868,1.140530335345241,-0.7458409415429545,-2.535788465853296,-0.3877277450305576,-3.133173667189513,2.277926183412122,-0.7352936502228747
Serge_Prokofiev_1.mp3,non_prog,0.3137980002807618,0.034477733075618744,888.0553010127735,1176.9002329586026,1432.599308226633,13.80378913127187,-387.59656684941285,160.2590373325592,28.039059710495557,-1.432063020845174,2.9828874291969862,-2.768374745220824,-4.068676776497741,-6.954327934993381,-10.148447157205927,-8.391570368202947,-6.274187269863393,-4.4155248557561295,-2.6074376603097473,-3.045243362334666,-3.5906237122483597,-3.157530930926946,-3.1016746806012043,-2.743124115352175,-2.5760902307306153,-3.4434351505647363
04-Invisible_Limits.mp3,non_prog,0.3539863426699445,0.03753645718097687,1445.895000046623,2282.395137239362,2416.0970804531917,10.764558313143938,-368.7508308023558,145.195538370111,13.719313995416382,2.9303857300763183,5.440705148483249,0.8958501481532413,-1.0078505599570666,-0.1309969620253161,-3.6903290828816826,-2.6166265802123725,-2.749256818143204,-4.256348258620321,-2.79709940394602,-2.686551060006704,-2.8496054030393903,-2.8989715969701924,-1.0734858111753722,-1.546099950759844,-2.407408296520869,-2.739567660629623
01_-_End_Titles_from_Blade_Runner.mp3,non_prog,0.5079093470670364,0.08321374654769897,3754.70502746259,4006.849716186284,8289.129504312541,61.911307132348036,-171.98350457175917,116.28944648515031,-24.554106874878915,44.81279684435205,-16.753000346304653,24.688402527238598,-9.557997149454046,17.45477565656058,-5.868833484631152,12.645792091344726,-6.301935491343977,8.03084860977138,-3.1348703607826427,3.615442374450991,-0.669105532958741,2.6278690479958193,-0.8953696406906345,2.489154636427819,-1.5862194199189708,0.6017100016059972
Russ_Conway_-_Pepe.mp3,non_prog,0.3676858039025188,0.11956534534692764,2254.3663342736227,2280.4342585335307,4442.275479359805,101.04889509326982,-169.02911668987414,165.06871784736762,-62.634446507840934,51.97448883511748,9.30573201076642,14.138943498869738,0.9287640699621422,-3.7668792237200477,-2.026168674712418,-6.017450499570672,-2.236533577350176,-11.375421098604956,-5.45422189341429,-7.040743272870586,-4.516397655593575,-6.5677539909719105,-4.801611075907283,-3.9948955049071704,-3.8597375316607434,-1.8334270586819477
16_-_Navras.mp3,non_prog,0.46455524439788703,0.1906585991382599,2161.291597919566,2896.4903783798745,4471.010074152318,17.837561505960483,-132.9418429597573,164.49968696659394,-18.425324582181656,25.693551797224625,-3.23954012419181,16.51628222458055,-6.126169675541376,15.494556189268499,-4.1147352096517995,5.07696270766424,-2.0987032140457624,7.096445566594787,0.7182560838261167,3.940092543098224,2.0670879564513798,0.22893528283829515,0.44753821170453084,4.40604598440188,-0.5840742435704654,1.9476018625434242
04_-_Condor_Pasa.mp3,non_prog,0.2906038889246341,0.12292322516441345,4600.978143513572,4762.822708321946,10685.279856121204,69.86137030779655,-173.73259362754908,80.35711910614363,2.3569014028422393,40.65404778837168,-11.577807216734383,29.504689680302533,-8.037626546308065,26.70272664619498,-16.500200661166005,10.391999706777536,-24.17936871953903,9.146258824185406,-6.378230546929482,-0.5054061532309484,-10.560551079393935,-4.983916618824077,-5.940580872611709,1.3455859195158713,-2.5252646559520957,2.951210408316507
01_-_Big_Chief.mp3,non_prog,0.4099522151811697,0.10835101455450058,2350.627570402626,2758.067016477911,4893.852627400009,59.86995597660835,-190.75199857806334,154.85591619536694,-37.44560102497721,34.67907738248514,-15.260725378219302,14.71231729468052,-3.5065078652297954,1.7949634517054427,0.8511501241337268,7.486157710952829,0.5616007348189587,-1.682281945035462,-0.6752602010073967,-2.559479974832744,-1.3598702833013119,-4.553239329437764,-2.660895691157234,-5.076763309054614,0.3848608588361818,-1.9984662082609672
Nena_‎-_99_Luftballons.mp3,non_prog,0.48998572060081397,0.1678786426782608,3114.372577979424,3028.246900601794,6465.658077194165,77.78651518029723,-159.70395534939914,122.55667984237708,-19.54229520999702,65.44026885838551,-18.678592452408285,30.82936320299825,3.579520287071364,2.018602620126176,8.865475186343827,-1.579777932279915,6.045250869147789,-0.4898658288821763,1.9564679826597111,-1.604811097380952,-4.6596982250845045,-5.82482334435906,-0.5716309174092822,-4.197582331383394,-2.225852395536721,-1.0809032355928858
08_-_Tsinandali_Choir_-_Orovela.mp3,non_prog,0.2704453031116767,0.07395829260349274,1595.8846958378745,2658.7239615085364,2609.8659391758447,19.778749741944885,-321.0088408553263,150.28530154788595,19.66720690448767,36.20435262799823,4.967323057529135,-10.698059917877696,-33.589532107479805,-18.260639161732332,3.499078912349979,-13.661051575197948,-20.088711068448593,2.9692407731096133,0.8518355827765521,-13.613728220394776,-8.092361848388911,0.9073914179268731,-0.4785314466738677,-7.150635176425614,-2.290274249347322,0.933474104934824
06_Savana_Dance.mp3,non_prog,0.4467611453156574,0.07382476329803467,3216.2453616619496,3606.4286225583046,6759.798577593259,58.43449401442708,-221.73314431767957,117.2234041084532,-22.881180570371686,25.583854198012194,-10.735228374218785,21.504469925538395,2.8146072331162952,8.081388776560848,-4.718586694434696,5.158465314373467,-1.8575337470352031,5.392080550182904,-4.268729586320642,5.514392852592591,-3.300475092232738,3.213709737568103,1.47901351204169,-0.8714751627928659,0.7269468098060252,0.4295652614473776
05-Tjolky_[Тьолки].mp3,non_prog,0.5089197057101835,0.16323204338550568,2000.1126182568985,2638.4172124712964,4230.007364833641,38.452739926624645,-161.02862780064666,163.41828049872925,-25.020508677178572,35.369222076702755,-5.90890551014477,23.96761189427487,-9.441860788085323,11.48425726997237,3.2453474024072886,6.717718859798785,2.1764093063629573,4.116706086393436,4.9964371160062955,-1.0200946938743018,0.3153782407789446,-2.7271404559720254,1.4084957903249515,-3.3599896314688826,2.7758343993148538,-2.1163538815965888
01_-_Harden_My_Heart.mp3,non_prog,0.4146236388268122,0.08190198987722397,2602.183365224655,3245.330515849939,5552.843064106622,52.54926311484313,-211.90480584862757,141.3869029355925,-22.93294605098238,46.716484453094594,-3.2658470962864095,16.739795813294297,-4.375875832353437,11.333840185323309,-5.312857613922699,6.341508749074053,-3.1802346255778704,1.6394965902285743,-3.251764951519656,3.556407251227332,3.7790770866910344,0.7822267415547122,1.8366630515560698,-1.2005882514764714,-0.9902750071877963,1.735738265453736
13_-_Layla.mp3,non_prog,0.4019982370226501,0.09031421691179276,2024.793493058587,2476.9332900063655,3874.245167049081,27.32606714332131,-199.5328709117822,179.7563636760545,-38.52726510530863,27.19846620184508,-5.450265701155785,12.428993884726783,-12.688069453435608,5.838165332680565,-2.564739475363169,-1.2796013897081933,-2.2984484524546045,2.085728187920371,2.1867364416641184,0.7919499539575193,-0.285261224012691,-1.1308308893476475,-1.4421978241678772,-4.171618624294668,-1.8726314966121598,-3.258887158016444
10_The_Thrill_Is_Gone.mp3,non_prog,0.479614412315308,0.12905214726924896,1539.418958539826,2373.2335869639332,2891.9372047156357,23.930666706595805,-229.67215244457265,179.02265852714703,-12.626830098083968,29.427343678341867,14.773246060831136,16.624797136016813,1.7080001279770038,7.837815877242181,7.252005183818844,6.093516411172169,-0.5446822365408599,-2.8233400264274997,-3.2685984735066103,-1.741888556534083,2.554684260514795,-1.3010675169067831,-2.320500303452377,-1.135260916533255,-2.5581502995761896,-5.095675219190843
04_Cracker_-_Low.mp3,non_prog,0.5441142067450463,0.27371349930763245,3038.355114267929,3422.906763663884,6577.956667469598,54.77189537839654,-59.724648905229664,140.0150186368806,-36.10372286351194,54.247951676458655,-16.852470247329286,30.776099472388804,-10.816506108988454,22.46805482658473,-7.355542992322412,10.540526576292223,-4.597733548565091,7.565687569012091,4.926165427342266,0.12483015010522343,3.183006823442243,-2.7358777240720515,4.1481819782030716,-3.959170747295425,4.22821413569085,-7.633891803330627
02_-_Killer_Queen.mp3,non_prog,0.4317685840924381,0.11186879128217697,2866.3774746456716,3058.5097598752423,5833.724284084602,87.99097210699863,-177.11225036566825,137.96403508818082,-38.260243031271415,48.701454128676666,-8.998132647760766,21.697210915181486,-6.0057629275660664,4.725829289389881,0.8758695393134776,-4.155786854298932,-0.34855045114183014,2.0781790925041634,-2.481893305059196,-1.303509284918194,-1.4761507677492105,-4.062789911114249,-1.9724655459966842,0.6976738219034451,-3.6004916467163546,-2.5659375573773344
